id,price,longitude,latitude
1,99329,116.471006,40.016871
2,59741,116.430477,40.001053
3,68456,116.642449,39.899814
4,93696,116.376015,40.018207
5,40152,116.338225,40.08248
6,55747,116.530553,39.921425
7,39718,116.235609,40.230534
8,43487,116.328035,40.078668
9,57644,116.488479,39.993976
10,77872,116.426534,40.002876
11,55824,116.333726,39.763334
12,92733,116.379711,40.017883
13,31903,116.415742,40.077796
14,41645,116.332045,40.081334
15,52079,116.34663,40.096608
16,47309,116.236106,39.899968
17,127237,116.355272,39.919868
18,42684,116.328035,40.078668
19,82719,116.463876,40.001253
20,25442,116.650438,39.920818
21,25232,116.650438,39.920818
22,43737,116.108792,39.957754
23,51479,116.648674,39.899289
24,50730,116.221549,39.905466
25,47923,116.6512,39.898186
26,70483,116.436169,40.001247
27,74240,116.467922,39.993105
28,94578,116.463539,39.987791
29,63552,116.384155,40.070139
30,81152,116.248549,39.93479
31,54082,116.517963,39.86507
32,52259,116.566117,39.956661
33,108315,116.442531,39.89667
34,74938,116.503568,39.916109
35,59533,116.530553,39.921425
36,63120,116.472064,39.88768
37,88777,116.357471,39.973789
38,53621,116.333726,39.763334
39,65912,116.491575,39.984428
40,42493,116.341467,40.087007
41,65916,116.343785,39.893621
42,82965,116.463539,39.987791
43,44764,116.111318,39.949921
44,86524,116.463876,40.001253
45,49587,116.612765,39.905006
46,62079,116.504432,39.960357
47,83704,116.441336,39.963162
48,59736,116.521774,39.94004
49,74642,116.388522,39.985964
50,99642,116.309462,39.941053
51,76157,116.463876,40.001253
52,73737,116.345863,39.877035
53,89684,116.490525,39.97146
54,84689,116.492991,40.000253
55,25122,116.445785,40.077726
56,82723,116.390064,40.007825
57,111701,116.428303,39.929284
58,69256,116.473169,39.994603
59,30347,116.445996,40.069568
60,55877,116.712033,39.925108
61,52017,116.357513,40.0711
62,42123,116.354287,40.079237
63,46253,116.309045,40.083072
64,69955,116.446047,39.964131
65,52589,116.678048,39.933473
66,48582,116.57395,39.92878
67,41773,116.302168,40.090052
68,53282,116.708466,39.925012
69,50339,116.335484,40.09232
70,43376,116.337461,40.086345
71,49902,116.68461,39.911076
72,51259,116.640671,39.901842
73,39616,116.431552,40.082903
74,38168,116.416156,40.082585
75,50377,116.42537,40.052808
76,90641,116.474112,39.997308
77,62987,116.476921,39.983744
78,91526,116.485379,40.009067
79,36185,116.428411,40.135623
80,84357,116.490525,39.97146
81,71329,116.419162,40.031546
82,64355,116.471931,40.008739
83,49996,116.648255,39.931905
84,55631,116.330198,40.074228
85,58830,116.704315,39.92475
86,35413,116.338639,40.079333
87,43776,116.338639,40.079333
88,46436,116.338639,40.079333
89,51582,116.335332,40.067075
90,52354,116.679317,39.889108
91,61141,116.689623,39.907949
92,37772,116.38138,40.092631
93,69899,116.415431,39.896044
94,40858,116.432684,40.077562
95,70773,116.459186,39.959951
96,28005,116.85037,39.963617
97,99781,116.316672,39.98346
98,59503,116.300341,39.851342
99,68732,116.328449,39.849606
100,59528,116.430562,40.045549
101,90408,116.340034,39.885855
102,73665,116.298566,39.928982
103,82133,116.46028,39.957618
104,48991,116.194258,39.936397
105,42844,116.425304,40.112553
106,108642,116.311592,39.977698
107,40898,116.104623,39.939443
108,55758,116.276504,39.888722
109,72753,116.457117,39.971046
110,77048,116.419299,39.99709
111,48851,116.68188,39.905547
112,45510,116.563698,39.953429
113,76451,116.485616,40.006096
114,46196,116.578532,39.928987
115,44861,116.641021,39.914053
116,47255,116.458721,39.817347
117,40210,116.415742,40.077796
118,79031,116.458573,39.905492
119,59621,116.694847,39.921775
120,78363,116.52013,39.936383
121,82223,116.404579,39.978491
122,45404,116.272871,40.235619
123,52950,116.661469,39.93066
124,85443,116.271746,40.05804
125,86712,116.492991,40.000253
126,45448,116.312476,39.9505
127,72657,116.486709,39.895879
128,47316,116.167112,39.936388
129,32367,116.432684,40.077562
130,55036,116.330198,40.074228
131,39035,116.649091,40.144305
132,87338,116.425978,40.002211
133,109218,116.289427,39.959175
134,39187,116.385869,39.772399
135,88045,116.382606,39.983696
136,31632,116.828287,39.970903
137,92449,116.434155,39.893704
138,94378,116.308879,39.921413
139,65116,116.689244,39.873245
140,110008,116.38999,39.88826
141,48296,116.694847,39.921775
142,75125,116.368508,39.955767
143,85173,116.349616,39.895733
144,90710,116.367818,39.959568
145,37527,116.43942,40.072066
146,94675,116.308482,39.943704
147,52001,116.379856,40.085112
148,91013,116.463539,39.987791
149,74012,116.446371,39.964132
150,57820,116.511419,39.981872
151,42190,116.678491,40.127539
152,47008,116.161141,39.932229
153,70852,116.343598,39.983679
154,81019,116.389861,39.987427
155,47949,116.20383,39.925938
156,62387,116.373014,39.859478
157,41239,116.432684,40.077562
158,37984,116.670101,40.118729
159,46448,116.373168,40.086703
160,32832,116.415742,40.077796
161,59456,116.269851,39.897262
162,71984,116.377658,39.860073
163,42918,116.331446,40.085293
164,49445,116.639467,39.904485
165,47995,116.235366,40.216037
166,62092,116.362306,40.035119
167,64951,116.47773,40.002156
168,82053,116.44012,40.046751
169,66189,116.386248,40.069552
170,37719,116.347998,40.087773
171,25599,116.85037,39.963617
172,56355,116.689244,39.873245
173,29936,116.445785,40.077726
174,46369,116.379778,39.840643
175,48654,116.669688,39.882768
176,25000,116.85037,39.963617
177,32788,116.416156,40.082585
178,143770,116.35854,39.906424
179,43426,116.42376,40.0514
180,41672,116.414419,40.053455
181,38720,116.66841,40.142858
182,56537,116.662088,39.893938
183,96257,116.348282,39.892777
184,50780,116.345917,40.066018
185,29918,116.419752,40.135608
186,52020,116.636059,39.907157
187,64814,116.372735,39.851209
188,45084,116.335484,40.09232
189,46393,116.35699,40.093976
190,46233,116.35699,40.093976
191,62858,116.390643,39.997027
192,68830,116.421876,40.008585
193,42578,116.349005,40.079347
194,46623,116.353594,40.088104
195,84936,116.359588,39.970768
196,64317,116.247008,39.906426
197,80537,116.433356,40.005811
198,53095,116.228639,39.907678
199,111276,116.320453,40.039032
200,36111,116.43942,40.072066
201,60527,116.463907,40.007017
202,93765,116.301709,39.919502
203,98922,116.305063,39.91533
204,117180,116.476546,39.905624
205,48567,116.566325,39.914057
206,74041,116.247008,39.906426
207,58716,116.430562,40.045549
208,89489,116.49983,39.94453
209,63311,116.437132,40.029448
210,107023,116.310955,39.937801
211,67856,116.337135,40.044991
212,42726,116.429292,40.111125
213,56176,116.324073,40.082161
214,98993,116.486709,39.895879
215,83726,116.445284,39.925343
216,78873,116.287719,39.931907
217,46770,116.323633,40.084686
218,44376,116.322609,40.082706
219,57326,116.69007,39.870642
220,96774,116.344985,39.891739
221,52500,116.516836,39.906378
222,78727,116.443182,39.990399
223,49497,116.342117,40.089417
224,87108,116.471348,39.90062
225,79070,116.380888,39.986466
226,63830,116.42537,40.052808
227,52714,116.239132,39.906502
228,73060,116.362365,39.953529
229,37079,116.423504,40.083027
230,39245,116.439341,40.082372
231,54430,116.439341,40.082372
232,45774,116.23899,40.216973
233,143483,116.392695,39.969608
234,65057,116.51159,39.903448
235,55486,116.32616,40.046586
236,51961,116.330198,40.074228
237,37420,116.670101,40.118729
238,91205,116.373007,39.999454
239,95785,116.345863,39.877035
240,75771,116.490032,39.993487
241,105229,116.437281,39.918733
242,59797,116.485296,39.991732
243,90848,116.409266,40.003413
244,76207,116.415924,39.997995
245,110109,116.491708,40.003156
246,51000,116.330198,40.074228
247,57895,116.330198,40.074228
248,47561,116.465305,39.818518
249,61917,116.377942,39.847498
250,37819,116.112665,39.95269
251,80972,116.442322,39.922354
252,40610,116.331446,40.085293
253,41203,116.439341,40.082372
254,63733,116.380393,39.843844
255,54923,116.482018,40.004978
256,65026,116.482231,40.009521
257,87759,116.268601,39.933567
258,56503,116.598911,39.932527
259,95407,116.469248,40.012773
260,53689,116.318035,39.857355
261,35265,116.38138,40.092631
262,47298,116.441424,39.813718
263,66966,116.504655,39.965482
264,56491,116.428732,40.048486
265,77159,116.264621,40.087404
266,85002,116.471754,40.02946
267,55649,116.430562,40.045549
268,67871,116.247008,39.906426
269,128205,116.354733,39.931695
270,53911,116.210318,39.916082
271,55986,116.511679,39.923959
272,55893,116.427682,40.050832
273,50924,116.509975,39.970471
274,133919,116.451309,39.979002
275,60458,116.647356,39.896263
276,58577,116.387828,39.852874
277,44448,116.629595,39.911506
278,48020,116.636059,39.907157
279,48384,116.335484,40.09232
280,82651,116.411853,39.974368
281,40010,116.343862,40.074863
282,135135,116.325385,39.984968
283,55720,116.434388,40.0451
284,39420,116.445996,40.069568
285,65326,116.334148,40.057145
286,53950,116.65133,39.892675
287,57807,116.399702,39.848513
288,41212,116.318694,40.087485
289,65744,116.411858,39.869364
290,41398,116.372841,40.080111
291,59880,116.435735,39.853176
292,92112,116.464603,39.905054
293,110297,116.447783,39.94387
294,77019,116.264969,39.927867
295,54313,116.511419,39.981872
296,80297,116.422403,39.987661
297,47452,116.35814,40.088663
298,54760,116.421985,40.058455
299,34577,116.415742,40.077796
300,24468,116.430012,40.066244
301,101160,116.355646,39.982502
302,84559,116.367353,39.954685
303,69438,116.220283,40.043636
304,98878,116.490032,39.993487
305,93220,116.487866,40.011938
306,27930,116.134573,39.746639
307,45623,116.331446,40.085293
308,128350,116.387037,39.95917
309,78407,116.410445,40.040689
310,85789,116.461153,39.994177
311,50757,116.676119,39.875612
312,66347,116.700632,39.914747
313,143338,116.303301,39.9707
314,81195,116.257014,40.054948
315,123707,116.38483,40.014138
316,145173,116.301832,39.972868
317,77882,116.318374,39.971443
318,79142,116.404579,39.978491
319,73024,116.343898,39.995983
320,74981,116.420099,39.901616
321,73813,116.420136,39.989832
322,45062,116.485785,39.80512
